random,3111215153,1155194447,840178409, random_benchmark,3111214438,1155187108,840171068,,2.29813795946392E-07,6.35308336560834E-06,8.73750630032407E-06
rh,151202052,69115321,51835154, rh_benchmark,151201565,69119168,51839006,,3.22086613323083E-06,5.56574986550764E-05,7.43069803460352E-05
double_sided,16384472,8190747,4094708, double_sided_benchmark,16384305,8192071,4096037,,1.01926813496209E-05,0.000161619692993383,0.000324459959712278
attack,25730936,20197718,10181677, attack_benchmark,25730545,20195136,10179083,,1.51959470737989E-05,0.000127852568063914,0.000254836314823251
attack_ntmp,25731291,20191671,10175630, attack_ntmp_benchmark,25730564,20185507,10169472,,2.82543359718038E-05,0.000305367608552017,0.000605537829299299
attack_memset,370732455,165202087,75185049, attack_memset_benchmark,370732402,165202136,75185100,,1.429602584346E-07,2.96606334436257E-07,6.78325891699286E-07
no_flush,600730847,400202006,400185826, no_flush_benchmark,600730503,400202135,400186093,,5.72636145962443E-07,3.22337110970185E-07,6.67189601713621E-07
random,3111215154,1155189163,840173119, random_benchmark,3111214435,1155178657,840162620,,2.31099467754944E-07,9.09469711575532E-06,1.24963902821575E-05
rh,151202042,69119091,51838924, rh_benchmark,151201564,69120154,51839992,,3.1613429607117E-06,1.53790166613344E-05,2.06018550311505E-05
double_sided,16384482,8190551,4094512, double_sided_benchmark,16384303,8191931,4095897,,1.09250909239166E-05,0.00016845845015052,0.000338143268739424
attack,25730966,20197155,10181116, attack_benchmark,25730544,20190905,10174866,,1.64007414689717E-05,0.000309545312604858,0.000614258703750988
attack_ntmp,25731275,20192093,10176048, attack_ntmp_benchmark,25730563,20187680,10171644,,2.76713727562044E-05,0.00021859867007997,0.000432968357917363
attack_memset,370732456,165202088,75185045, attack_memset_benchmark,370732405,165202132,75185098,,1.37565530588026E-07,2.66340388391598E-07,7.04926925811814E-07
no_flush,600730839,400202106,400186063, no_flush_benchmark,600730476,400202135,400186096,,6.04264332345942E-07,7.24633815359331E-08,8.24616355486773E-08
random,3111215162,1155185204,840169151, random_benchmark,3111214439,1155176892,840160844,,2.32385139043127E-07,7.19543479233655E-06,9.88739246695958E-06
rh,151202069,69118169,51838002, rh_benchmark,151201578,69119390,51839228,,3.24732060666721E-06,1.76650864540327E-05,2.36500435538893E-05
double_sided,16384457,8191785,4095746, double_sided_benchmark,16384303,8191778,4095744,,9.39924023621878E-06,8.54515344532042E-07,4.88311769485593E-07
attack,25730929,20197227,10181177, attack_benchmark,25730525,20195831,10179794,,1.57011953700906E-05,6.91231769566699E-05,0.000135857366072437
attack_ntmp,25731284,20196588,10180550, attack_ntmp_benchmark,25730574,20192739,10176704,,2.7593632384571E-05,0.000190613071361939,0.000377921967662615
attack_memset,370732457,165202096,75185055, attack_memset_benchmark,370732401,165202133,75185086,,1.51052348942115E-07,2.23968052519031E-07,4.12315814867858E-07
no_flush,600730840,400202109,400186070, no_flush_benchmark,600730475,400202130,400186085,,6.07593613425389E-07,5.24734838367802E-08,3.74825626433263E-08
random,3111215157,1155184654,840168615, random_benchmark,3111214439,1155191761,840175721,,2.30778049561501E-07,6.15222531871918E-06,8.45775451775998E-06
rh,151202094,69093371,51813204, rh_benchmark,151201568,69118803,51838641,,3.47879990239255E-06,0.00036794618679956,0.000490695734095344
double_sided,16384460,8191743,4095704, double_sided_benchmark,16384303,8191924,4095890,,9.58234231874252E-06,2.20949315447751E-05,4.54113757937835E-05
