# started on Thu Feb 29 14:31:29 2024

#           time             counts unit events
     0.020457211      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.021687897      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.021687897      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.021687897      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.021687897      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.022871759      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.022871759      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.022871759      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.022871759      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.024042333      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.024042333      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.024042333      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.024042333      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.025216284      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.025216284      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.025216284      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.025216284      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.026398500      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.026398500      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.026398500      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.026398500      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.027508015      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.027508015      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.027508015      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.027508015      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.028681202      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.028681202      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.028681202      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.028681202      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.029840104      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.029840104      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.029840104      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.029840104      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
#           time             counts unit events
     0.031010416      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.031010416      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.031010416      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.031010416      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.032248280      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.032248280      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.032248280      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.032248280      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.033477385      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.033477385      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.033477385      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.033477385      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.034715513      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
